radius,temp,λ,λ_visible
15.83570308786518,1.947314511917327e14,1.4892304156582588e-17,3.8e-7
25.83570308786518,1.493187075867614e14,1.9421545008450863e-17,4.161395840943372e-7
35.835703087865184,1.2216501679430889e14,2.3738383344904493e-17,4.505843723456779e-7
45.835703087865184,1.0429401479948825e14,2.780600598773986e-17,4.830406261357896e-7
55.835703087865184,9.157193965448408e13,3.166909001755532e-17,5.138648314993482e-7
65.83570308786518,8.200055099717008e13,3.536561602006896e-17,5.433600419979554e-7
75.83570308786518,7.450431537097175e13,3.8923919850284174e-17,5.717523542443268e-7
85.83570308786518,6.845241034216555e13,4.23651992019578e-17,5.992109082469506e-7
95.83570308786518,6.344947138908625e13,4.5705660528147756e-17,6.258650180547622e-7
105.83570308786518,5.9234462750460164e13,4.8957986032843205e-17,6.518158771331916e-7
115.83570308786518,5.562768765865844e13,5.2132312559798004e-17,6.77144369084872e-7
125.83570308786518,5.2501141721109195e13,5.523689399756412e-17,7.01916353092211e-7
135.83570308786517,4.976101002394764e13,5.82785598323741e-17,7.261863227889306e-7
145.83570308786517,4.733686069062742e13,6.126304021200527e-17,7.5e-7
